Sample ID	ID from paper		HG by YTree*	Variants	Terminal SNPs
ERR1019075 	HGDP00987 		A-P262 		
ERR1395596 	HGDP01036 		A-Y61213 		
ERR1395603 	DNK07 		A-Y25085* 		
ERR1347694 	DNK11 		A-Y76912* 		
ERR1019078 	HGDP00449 		B-Y34326 		M6845/M65.2 • M6848 • M6855 • M6857 • M6861 • M6867 • M6871 • M6874 • M6876 • M6882 • M6883 • M6885 • M6889 • M6896 • M6920 • M6921 • M6940 • M6942 • M6948 • M6966 • M6971 • M6978 • M6988 • M6993 • M6998 • M7001 • M7008 • M7010 • M7011 • M7013 • M7014 • M7019 • M7021 • M7028 • M7029 • M7030 • M7048 • M7054 • M7059 • M7060 • M7062 • M7065 • M7068 • M7072 • M7074 • M7083 • M7091 • M7092 • M7097 • M7098 • Y34327 • Y34326 • PH113 • Y34328 • SK434 • F18660 • F20190 • PH1976 • PH2491 • F21079 • SK437 • PH3140 • PH5404 • Y33553 • Y33554
ERR1019076 	HGDP01032 		B-P6 		
ERR1347737 	HGDP00991 		B-P6 		
ERR1025613 	HGDP00461 		B-M30* 		
ERR1025612 	HGDP00457 		B-Y12203 		S22777 • Y12203/FGC33885 • Y12204/FGC33880 • Y12207/FGC33896 • Y12208/FGC33891 • FGC33886 • Y12211/FGC33879 • FGC33897 • FGC33892 • FGC33888 • Y26907 • Y25121 • Y25122 • FGC33907 • Y26909 • Y26910 • Y26911
ERR1395606 	DNK05 		E-Y146913 		
ERR1347716 	NA21581 		E-Y25335 		
ERR1395594 	HGDP00982 		E-M200* 		
ERR1347680 	HGDP01417 		E-Y25288 		
ERR1395582 	SAH41 		E-M4732* 		
ERR1025640 	HGDP01199 		E-CTS618* 		
ERR1395571 	HGDP00474 		E-Y25272* 		
ERR1019043 	HGDP01035 		E-Y28119 		
ERR1347714 	HGDP01028 		E-Y28119 		
ERR1347732 	HGDP01030 		E-Z36531* 		
ERR1025658 	HGDP00932 		E-M4279* 		
ERR1395598 	HGDP00936 		E-Z5966* 		
ERR1347723 	HGDP01034 		E-Z5968* 		
ERR1395591 	Ayodo_430C 		E-Y37091 		
ERR1395593 	HGDP01286 		E-SK872 		
ERR1019035 	HGDP00090 		E-Y20282* 		
ERR1347695 	iran11 		E-V2418 		
ERR1395567 	HGDP00722 		E-PH430 		
ERR1347668 	NA17377 		E-Z17264* 		
ERR1025615 	BulgarianC1 		E-FGC33614 		
ERR1395581 	SAH31 		E-MZ48 		
ERR1025601 	HGDP01253 		E-CTS12227* 		
ERR1347726 	NA21490 		E-M293* 		
ERR1395600 	IHW9193 		C-M210 		
ERR1347710 	HGDP00545 		C-M38* 		
ERR1347702 	HGDP00547 		C-Y25126 		
ERR1395595 	HGDP00546 		C-Y25126 		
ERR1395618 	HGDP01308 		C-CTS4660 		
ERR1025626 	HGDP00125 		C-CTS4449* 		
ERR1025656 	HGDP01250 		C-B469* 		
ERR1347699 	Nlk18 		C-B89 		
ERR1347713 	HGDP01320 		F2 		MF34297/M427 • M428
ERR1025608 	abh107 		G-Y36036 		
ERR1025623 	mg27 		G-Y28135* 		
ERR1347683 	NA17374 		G-PF3345* 		
ERR1395556 	ML3 		H-M6214 		
ERR1347703 	Kusunda02 		H-Y25630 		
ERR1347712 	Kusunda15 		H-Y25630 		
ERR1395549 	Y8 		H-P80 		
ERR1395615 	Y4 		H-P80 		
ERR1395612 	R6 		H-Y25775* 		
ERR1025633 	HGDP00328 		H-Y25776 		
ERR1025616 	HGDP00428 		H-Z4490* 		
ERR1395608 	K1 		H-Z5890* 		
ERR1025630 	NA15202 		I-A2064 		
ERR1025605 	HGDP00887 		I-Y31845 		
ERR1019082 	HGDP01153 		I-PH1237* 		
ERR1395566 	NA17386 		I-Y64939 		
ERR1025599 	ch113 		J-ZS11316 		
ERR1395604 	NA15728 		J-ZS12015 		
ERR1395597 	HGDP01076 		J-S7953 		
ERR1395620 	IraqiJew4291 		J-ZS2458 		
ERR1019068 	HGDP01079 		J-PF4878* 		
ERR1025611 	HGDP00616 		J-Y125209* 		
ERR1347659 	Jordan603 		J-ZS10412 		
ERR1025619 	HGDP00597 		J-Y62676 		
ERR1395562 	M13 		J-ZS292* 		
ERR1025614 	BulgarianB4 		J-Y36202 		
